Antecedent,Consequent,Support,Confidence,Lift
"Result=Fail, School=GP",G1Level=Low,0.22531645569620254,0.7876106194690266,2.19088869500187
"HigherEducation=yes, Result=Fail",G1Level=Low,0.23291139240506328,0.7863247863247862,2.1873119056217645
"G1Level=Low, School=GP",G2Level=Low,0.25569620253164554,0.8079999999999998,2.1860273972602733
G2Level=Low,"G1Level=Low, School=GP",0.25569620253164554,0.6917808219178081,2.1860273972602733
"FamilySupport=yes, G1Level=Low",G2Level=Low,0.189873417721519,0.8064516129032259,2.1818382677861248
"G1Level=Low, HigherEducation=yes",Result=Fail,0.23291139240506328,0.7131782945736433,2.166964818127609
Result=Fail,"G1Level=Low, HigherEducation=yes",0.23291139240506328,0.7076923076923077,2.166964818127609
"G1Level=Low, School=GP",Result=Fail,0.22531645569620254,0.712,2.1633846153846155
Result=Fail,"G1Level=Low, School=GP",0.22531645569620254,0.6846153846153847,2.1633846153846155
"G1Level=Low, Romantic=no",G2Level=Low,0.1949367088607595,0.7938144329896908,2.147648637198136
"G1Level=Medium, Result=Pass",G2Level=Medium,0.35443037974683544,0.8641975308641975,1.8755935422602088
G2Level=Medium,"G1Level=Medium, Result=Pass",0.35443037974683544,0.7692307692307692,1.8755935422602086
"Activities=no, G2Level=Medium",G1Level=Medium,0.189873417721519,0.8620689655172414,1.8112619222303743
"Activities=no, G1Level=Medium",G2Level=Medium,0.189873417721519,0.797872340425532,1.7316460135609073
"G1Level=Medium, Romantic=no",G2Level=Medium,0.2379746835443038,0.7966101694915254,1.7289066865338052
"G2Level=Medium, SchoolSupport=no",G1Level=Medium,0.3265822784810127,0.8164556962025317,1.7154255319148937
G1Level=Medium,"G2Level=Medium, SchoolSupport=no",0.3265822784810127,0.6861702127659575,1.7154255319148937
"G1Level=Medium, StudyTime=2-5 hrs",G2Level=Medium,0.18227848101265823,0.782608695652174,1.698518872431916
"G2Level=Medium, Result=Pass",G1Level=Medium,0.35443037974683544,0.8045977011494253,1.690511127415016
G1Level=Medium,"G2Level=Medium, Result=Pass",0.35443037974683544,0.7446808510638299,1.690511127415016
"G1Level=Medium, Internet=yes",G2Level=Medium,0.31139240506329113,0.7784810126582278,1.6895604395604393
G2Level=Medium,"G1Level=Medium, Internet=yes",0.31139240506329113,0.6758241758241758,1.6895604395604393
"G1Level=Medium, SchoolSupport=no",G2Level=Medium,0.3265822784810127,0.7771084337349398,1.6865814907983583
G2Level=Medium,"G1Level=Medium, SchoolSupport=no",0.3265822784810127,0.7087912087912088,1.6865814907983583
G1Level=Medium,"Failures=0, G2Level=Medium",0.3139240506329114,0.6595744680851064,1.6808510638297876
"Failures=0, G2Level=Medium",G1Level=Medium,0.3139240506329114,0.8,1.6808510638297873
"G2Level=Medium, Internet=yes",G1Level=Medium,0.31139240506329113,0.7987012987012987,1.6781224095053882
G1Level=Medium,"G2Level=Medium, Internet=yes",0.31139240506329113,0.6542553191489362,1.6781224095053882
"Address=U, G1Level=Medium",G2Level=Medium,0.28860759493670884,0.7702702702702703,1.6717404217404217
"Address=U, G2Level=Medium",G1Level=Medium,0.28860759493670884,0.7916666666666666,1.6633421985815602
G2Level=Medium,G1Level=Medium,0.36455696202531646,0.7912087912087912,1.6623801730184709
"G2Level=Medium, StudyTime=2-5 hrs",G1Level=Medium,0.18227848101265823,0.7912087912087912,1.6623801730184709
G1Level=Medium,G2Level=Medium,0.36455696202531646,0.7659574468085106,1.6623801730184709
"FamilySupport=yes, G1Level=Medium",G2Level=Medium,0.22025316455696203,0.7631578947368421,1.6563042220936959
G2Level=Medium,"G1Level=Medium, HigherEducation=yes",0.3493670886075949,0.7582417582417582,1.6547264889806326
"G1Level=Medium, HigherEducation=yes",G2Level=Medium,0.3493670886075949,0.7624309392265193,1.6547264889806323
"G2Level=Medium, HigherEducation=yes",G1Level=Medium,0.3493670886075949,0.7840909090909091,1.6474250483558994
G1Level=Medium,"G2Level=Medium, HigherEducation=yes",0.3493670886075949,0.7340425531914894,1.6474250483558994
"G1Level=Medium, School=GP",G2Level=Medium,0.31645569620253167,0.7575757575757576,1.644189144189144
G2Level=Medium,"G1Level=Medium, School=GP",0.31645569620253167,0.6868131868131868,1.644189144189144
